Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
File name: cv15at14.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Appendix table 14. Standard errors for table 10: Prevalence of violent crime, by victim demographic characteristics, 2014 and 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Report title:  Criminal Victimization, 2015 NCJ 250180",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data source: National Crime Victimization Survey, 2014 and 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Author:  Jennifer L. Truman, Ph.D., and Rachel E. Morgan, Ph.D., BJS Statisticians",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Refer questions to:  askbjs@usdoj.gov (202) 307-0765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date of version: 10/20/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Appendix table 14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Standard errors for table 10: Prevalence of violent crime, by victim demographic characteristics, 2014 and 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Victim demographic characteristic,,Number of persons victimized,,,Prevalence rate,,,,,,,,,,,,,,,,,,,,,,,,
,,2014,2015,,2014,,2015,,,,,,,,,,,,,,,,,,,95% confidence interval,,,
,Total,"112,101","114,796",,0.04,%,0.04,%,,,,,,,,,,,,,,,,,,Lower ,,Upper ,
Sex,,,,,,,,,,,,,,,,,,,,,,,,,,30.39,%,33.23,
,Male,"75,109","73,258",,0.06,%,0.056,%,,,,,,,,,,,,,,,,,,30.75,,33.62,
,Female,"69,928",76416,,0.05,,0.053,,,,,,,,,,,,,,,,,,,30.64,,33.56,
Race/Hispanic origin,,,,,,,,,,,,,,,,,,,,,,,,,,32.3,,35.13,
,White,"87,113","89,404",,0.05,%,0.049,%,,,,,,,,,,,,,,,,,,31.74,,35.12,
,Black,"43,208","41,050",,0.129,,0.121,,,,,,,,,,,,,,,,,,,31.7,,35.27,
,Hispanic,"37,420","41,842",,0.084,,0.085,,,,,,,,,,,,,,,,,,,31.24,,34.77,
,Other,"24,946","25,170",,0.131,,0.125,,,,,,,,,,,,,,,,,,,32.34,,36.62,
Age,,,,,,,,,,,,,,,,,,,,,,,,,,33.95,,38.14,
,12–17,"41,146","37,288",,0.159,%,0.141,%,,,,,,,,,,,,,,,,,,36.95,,40.93,%
,18–24,"43,521","44,460",,0.146,,0.144,,,,,,,,,,,,,,,,,,,35.48,,39.61,
,25–34,"42,242","39,818",,0.098,,0.089,,,,,,,,,,,,,,,,,,,37.3,,41.1,
,35–49,"45,632","49,210",,0.075,,0.08,,,,,,,,,,,,,,,,,,,36.7,,40.76,
,50–64,"44,218","39,308",,0.072,,0.062,,,,,,,,,,,,,,,,,,,36.23,,39.87,
,65 or older,"16,670","20,567",,0.037,,0.044,,,,,,,,,,,,,,,,,,,35.23,,38.91,
Marital status,,,,,,,,,,,,,,,,,,,,,,,,,,38.09,,42.39,
,Never married,"82,391","82,175",,0.087,%,0.085,%,,,,,,,,,,,,,,,,,,36.4,,40.42,
,Married,"47,132","46,990",,0.038,,0.036,,,,,,,,,,,,,,,,,,,37.34,,41.07,
,Widowed,"13,712","16,233",,0.092,,0.11,,,,,,,,,,,,,,,,,,,34.71,,39.05,
,Divorced,"33,752","36,696",,0.133,,0.134,,,,,,,,,,,,,,,,,,,31.88,,35.16,
,Separated,"22,313","14,078",,0.439,,0.274,,,,,,,,,,,,,,,,,,,34.26,,37.85,
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, 2014 and 2015. ",,,,,,,,,,,,,,,,,,,,,,,,,,35.1,,38.86,
,,,,,,,,,,,,,,,,,,,,,,,,,,32.61,,36.49,
