Bureau of Justice Statistics,,,,,
File name: cv15t06.csv,,,,,
"Table 6. Percent of violent victimizations in which assistance from a victim service agency was received, by type of crime, 2014 and 2015",,,,,
"Report title:  Criminal Victimization, 2015 NCJ 250180",,,,,
"Data source: National Crime Victimization Survey, 2014 and 2015",,,,,
"Author:  Jennifer L. Truman, Ph.D., and Rachel E. Morgan, Ph.D., BJS Statisticians",,,,,
Refer questions to:  askbjs@usdoj.gov (202) 307-0765,,,,,
Date of version: 10/20/2016,,,,,
,,,,,
Table 6,,,,,
"Percent of violent victimizations in which assistance from a victim service agency was received, by type of crime, 2014 and 2015",,,,,
Type of crime,,2014*,,2015,
Violent crime/a,,10.5,%,9.1,%
,Serious violent crime/b,12.3,,14.4,
,Simple assault,9.5,,6,‡
Intimate partner violence/c,,28.2,%,18.3,% ‡
Violent crime involving injury,,14.9,%,16.9,%
Violent crime involving weapon,,7.2,%,15,% †
Note: See appendix table 10 for standard errors. ,,,,,
*Comparison year.,,,,,
†Significant difference from comparison year at the 95% confidence level.,,,,,
‡Significant difference from comparison year at the 90% confidence level.,,,,,
"a/Includes rape or sexual assault, robbery, aggravated assault, and simple assault. Excludes homicide because the NCVS is based on interviews with victims and therefore cannot measure murder.",,,,,
"b/In the NCVS, serious violent crime includes rape or sexual assault, robbery, and aggravated assault. ",,,,,
"c/Includes victimization committed by current or former spouses, boyfriends, ",,,,,
or girlfriends.,,,,,
"Source: Bureau of Justice Statistics, National Crime Victimization Survey (NCVS), 2014 and 2015.",,,,,
