Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
File name: cv15at11.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Appendix table 11. Standard errors for table 7: Rate of violent victimization, by victim demographic characteristics, 2014 and 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Report title:  Criminal Victimization, 2015 NCJ 250180",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data source: National Crime Victimization Survey, 2014 and 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Author:  Jennifer L. Truman, Ph.D., and Rachel E. Morgan, Ph.D., BJS Statisticians",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Refer questions to:  askbjs@usdoj.gov (202) 307-0765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date of version: 10/20/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Appendix table 11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Standard errors for table 7: Rate of violent victimization, by victim demographic characteristics, 2014 and 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Victim demographic characteristic,,Violent crime,,,Serious violent crime,,,,,,,,,,,,,,,,,,,,,,,,
,,2014,2015,,2014,2015,,,,,,,,,,,,,,,,,,,,95% confidence interval,,,
,Total,1.22,1.16,,0.75,0.71,,,,,,,,,,,,,,,,,,,,Lower ,,Upper ,
Sex,,,,,,,,,,,,,,,,,,,,,,,,,,30.39,%,33.23,
,Male,1.83,1.57,,0.98,0.76,,,,,,,,,,,,,,,,,,,,30.75,,33.62,
,Female,1.69,1.87,,0.86,0.98,,,,,,,,,,,,,,,,,,,,30.64,,33.56,
Race/Hispanic origin,,,,,,,,,,,,,,,,,,,,,,,,,,32.3,,35.13,
,White,1.64,1.54,,0.8,0.74,,,,,,,,,,,,,,,,,,,,31.74,,35.12,
,Black,2.89,3.02,,1.72,1.59,,,,,,,,,,,,,,,,,,,,31.7,,35.27,
,Hispanic,2.17,2.28,,1.41,1.31,,,,,,,,,,,,,,,,,,,,31.24,,34.77,
,Other,3.5,3.86,,1.75,2.17,,,,,,,,,,,,,,,,,,,,32.34,,36.62,
Age,,,,,,,,,,,,,,,,,,,,,,,,,,33.95,,38.14,
,12–17,3.8,4.08,,1.72,1.68,,,,,,,,,,,,,,,,,,,,36.95,,40.93,%
,18–24,3.32,3.31,,2.14,1.91,,,,,,,,,,,,,,,,,,,,35.48,,39.61,
,25–34,3.1,2.7,,1.42,1.55,,,,,,,,,,,,,,,,,,,,37.3,,41.1,
,35–49,2.33,2.49,,1.29,1.24,,,,,,,,,,,,,,,,,,,,36.7,,40.76,
,50–64,2.04,1.82,,1.1,0.99,,,,,,,,,,,,,,,,,,,,36.23,,39.87,
,65 or older,0.72,1.04,,0.43,0.48,,,,,,,,,,,,,,,,,,,,35.23,,38.91,
Marital status,,,,,,,,,,,,,,,,,,,,,,,,,,38.09,,42.39,
,Never married,2.45,2.43,,1.28,1.22,,,,,,,,,,,,,,,,,,,,36.4,,40.42,
,Married,1.29,1.15,,0.6,0.57,,,,,,,,,,,,,,,,,,,,37.34,,41.07,
,Widowed,2.06,2.13,,1.06,1.12,,,,,,,,,,,,,,,,,,,,34.71,,39.05,
,Divorced,3.77,4.28,,2.31,2.26,,,,,,,,,,,,,,,,,,,,31.88,,35.16,
,Separated,9.13,8.01,,6.19,5.41,,,,,,,,,,,,,,,,,,,,34.26,,37.85,
Household income,,,,,,,,,,,,,,,,,,,,,,,,,,35.1,,38.86,
,"$9,999 or less",5.14,5.48,,3.19,3.33,,,,,,,,,,,,,,,,,,,,32.61,,36.49,
,"$10,000–$14,999",5.18,4.62,,3.21,2.74,,,,,,,,,,,,,,,,,,,,,,,
,"$15,000–$24,999",3.35,3.55,,1.64,1.7,,,,,,,,,,,,,,,,,,,,,,,
,"$25,000–$34,999",2.66,2.44,,1.52,1.21,,,,,,,,,,,,,,,,,,,,,,,
,"$35,000–$49,999",2.41,2.65,,1.38,1.33,,,,,,,,,,,,,,,,,,,,,,,
,"$50,000–$74,999",2.1,2.16,,1.02,1.12,,,,,,,,,,,,,,,,,,,,,,,
,"$75,000 or more",1.63,1.52,,0.75,0.76,,,,,,,,,,,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, 2014 and 2015.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
