Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
File name: cv15at08.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Appendix table 8. Standard errors for table 4: Percent of victimizations reported to police, by type of crime, 2014 and 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Report title:  Criminal Victimization, 2015 NCJ 250180",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data source: National Crime Victimization Survey, 2014 and 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Author:  Jennifer L. Truman, Ph.D., and Rachel E. Morgan, Ph.D., BJS Statisticians",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Refer questions to:  askbjs@usdoj.gov (202) 307-0765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date of version: 10/20/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Appendix table 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Standard errors for table 4: Percent of victimizations reported to police, by type of crime, 2014 and 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Type of crime,,,2014,,2015,,,,,,,,,,,,,,,,,,,,,,,,
Violent crime,,,2.62,%,2.79,%,,,,,,,,,,,,,,,,,,,,95% confidence interval,,,
,Rape/sexual assault,,6.66,,5.9,,,,,,,,,,,,,,,,,,,,,Lower ,,Upper ,
,Robbery,,5.24,,5.75,,,,,,,,,,,,,,,,,,,,,30.39,%,33.23,
,Assault,,2.76,,2.99,,,,,,,,,,,,,,,,,,,,,30.75,,33.62,
,,Aggravated assault,4.44,,3.01,,,,,,,,,,,,,,,,,,,,,30.64,,33.56,
,,Simple assault,2.94,,3.15,,,,,,,,,,,,,,,,,,,,,32.3,,35.13,
,Domestic violence,,4.42,,4.64,,,,,,,,,,,,,,,,,,,,,31.74,,35.12,
,,Intimate partner violence,5.37,,5.18,,,,,,,,,,,,,,,,,,,,,31.7,,35.27,
,Stranger violence,,3.52,,3.79,,,,,,,,,,,,,,,,,,,,,31.24,,34.77,
,Violent crime involving injury,,4.12,,4.38,,,,,,,,,,,,,,,,,,,,,32.34,,36.62,
Serious violent crime,,,3.61,%,3.91,%,,,,,,,,,,,,,,,,,,,,33.95,,38.14,
,Serious domestic violence,,6.32,,6.28,,,,,,,,,,,,,,,,,,,,,36.95,,40.93,%
,,Serious intimate partner violence,7.43,,7.17,,,,,,,,,,,,,,,,,,,,,35.48,,39.61,
,Serious stranger violence,,4.57,,5.48,,,,,,,,,,,,,,,,,,,,,37.3,,41.1,
,Serious violent crime involving weapons,,4.18,,4.84,,,,,,,,,,,,,,,,,,,,,36.7,,40.76,
,Serious violent crime involving injury,,5.16,,5.54,,,,,,,,,,,,,,,,,,,,,36.23,,39.87,
Property crime,,,0.96,%,0.99,%,,,,,,,,,,,,,,,,,,,,35.23,,38.91,
,Burglary,,1.92,,2.02,,,,,,,,,,,,,,,,,,,,,38.09,,42.39,
,Motor vehicle theft,,3.13,,3.84,,,,,,,,,,,,,,,,,,,,,36.4,,40.42,
,Theft,,0.98,,1.03,,,,,,,,,,,,,,,,,,,,,37.34,,41.07,
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, 2014 and 2015.",,,,,,,,,,,,,,,,,,,,,,,,,,34.71,,39.05,
,,,,,,,,,,,,,,,,,,,,,,,,,,31.88,,35.16,
,,,,,,,,,,,,,,,,,,,,,,,,,,34.26,,37.85,
,,,,,,,,,,,,,,,,,,,,,,,,,,35.1,,38.86,
,,,,,,,,,,,,,,,,,,,,,,,,,,32.61,,36.49,
